playerid,yearid,stint,teamid,lgid,position,games,games_started,innouts,putouts,assists,errors,double_plays,passed_balls,wild_pitches,opp_sbs,opp_cs,zone_rating
smithha07,1933,1,PIT,NL,P,28,,,3,25,2,1,,,,,
sorrevi01,1933,1,DET,AL,P,36,,,14,48,2,1,,,,,
spencgl01,1933,1,NY1,NL,P,17,,,5,10,0,2,,,,,
spencro01,1933,1,CLE,AL,C,72,,,258,42,3,4,2,,,,
spohral01,1933,1,BSN,NL,C,65,,,150,26,5,4,2,,,,
sprinjo01,1933,1,SLN,NL,C,3,,,18,1,0,0,0,,,,
starrra01,1933,1,NY1,NL,P,6,,,0,3,0,0,,,,,
starrra01,1933,2,BSN,NL,P,9,,,4,6,0,0,,,,,
stephri01,1933,1,CHN,NL,OF,91,,,187,5,3,2,,,,,
stewale01,1933,1,WS1,AL,2B,1,,,0,0,0,0,,,,,
stewale01,1933,1,WS1,AL,P,34,,,5,56,1,2,,,,,
stilero01,1933,1,SLA,AL,P,31,,,5,22,3,0,,,,,
stonejo01,1933,1,DET,AL,OF,141,,,280,11,9,1,,,,,
stonejo02,1933,1,CHA,AL,OF,9,,,13,0,0,0,,,,,
stortli01,1933,1,SLA,AL,2B,24,,,64,55,1,15,,,,,
stortli01,1933,1,SLA,AL,3B,32,,,41,58,7,11,,,,,
stoutal01,1933,1,SLN,NL,P,1,,,0,1,0,1,,,,,
stoutal01,1933,2,CIN,NL,P,23,,,4,12,3,0,,,,,
stripjo01,1933,1,BRO,NL,3B,140,,,170,264,15,17,,,,,
stumpge01,1933,1,BOS,AL,OF,15,,,22,0,0,0,,,,,
suhrgu01,1933,1,PIT,NL,1B,154,,,1451,90,14,115,,,,,
sukefcl01,1933,1,BRO,NL,C,18,,,50,7,1,2,0,,,,
sullibi04,1933,1,CHA,AL,1B,22,,,211,12,4,22,,,,,
sullibi04,1933,1,CHA,AL,C,8,,,21,3,4,0,1,,,,
swansev01,1933,1,CHA,AL,OF,139,,,281,7,8,0,,,,,
swetost01,1933,1,PIT,NL,P,31,,,4,34,2,2,,,,,
swiftbi01,1933,1,PIT,NL,P,37,,,11,39,2,1,,,,,
tayloda01,1933,1,BRO,NL,OF,91,,,247,4,6,1,,,,,
tayloza02,1933,1,CHN,NL,C,12,,,8,0,0,0,0,,,,
terrybi01,1933,1,NY1,NL,1B,117,,,1246,76,11,103,,,,,
theveto01,1933,1,PIT,NL,2B,61,,,137,172,8,31,,,,,
theveto01,1933,1,PIT,NL,3B,1,,,1,3,0,0,,,,,
theveto01,1933,1,PIT,NL,SS,3,,,5,5,1,2,,,,,
thomabu01,1933,1,WS1,AL,P,2,,,0,3,0,0,,,,,
thomato02,1933,1,WS1,AL,P,35,,,3,22,1,1,,,,,
thompto02,1933,1,BSN,NL,OF,24,,,64,3,0,0,,,,,
thurssl01,1933,1,BRO,NL,P,32,,,3,40,1,0,,,,,
tietjle01,1933,1,CHA,AL,P,3,,,1,5,0,1,,,,,
tinnibu01,1933,1,CHN,NL,P,32,,,3,28,2,3,,,,,
toddal01,1933,1,PHI,NL,C,34,,,92,21,2,3,1,,,,
toddal01,1933,1,PHI,NL,OF,2,,,5,0,0,0,,,,,
travice01,1933,1,WS1,AL,3B,15,,,8,30,1,1,,,,,
traynpi01,1933,1,PIT,NL,3B,154,,,176,300,27,16,,,,,
troskha01,1933,1,CLE,AL,1B,11,,,91,4,1,6,,,,,
uhlege01,1933,1,DET,AL,P,1,,,0,0,0,0,,,,,
uhlege01,1933,2,NY1,NL,P,6,,,1,4,0,0,,,,,
uhlege01,1933,3,NYA,AL,P,12,,,0,9,0,1,,,,,
urbanbi01,1933,1,BSN,NL,SS,143,,,299,473,38,91,,,,,
vanatru01,1933,1,NYA,AL,P,26,,,7,32,1,1,,,,,
vanceda01,1933,1,SLN,NL,P,28,,,5,14,2,0,,,,,
vaughar01,1933,1,PIT,NL,SS,152,,,310,487,46,95,,,,,
vergejo01,1933,1,NY1,NL,3B,123,,,101,222,25,17,,,,,
vosmijo01,1933,1,CLE,AL,OF,113,,,242,15,4,3,,,,,
walberu01,1933,1,PHA,AL,P,40,,,14,45,2,1,,,,,
walkebi01,1933,1,SLN,NL,P,29,,,11,40,4,0,,,,,
walkedi02,1933,1,NYA,AL,OF,77,,,194,7,8,1,,,,,
walkege02,1933,1,DET,AL,OF,113,,,234,10,15,3,,,,,
waltebu01,1933,1,BOS,AL,2B,7,,,16,23,2,3,,,,,
waltebu01,1933,1,BOS,AL,3B,43,,,42,84,8,11,,,,,
wanerll01,1933,1,PIT,NL,OF,114,,,267,9,5,2,,,,,
wanerpa01,1933,1,PIT,NL,OF,154,,,346,16,7,2,,,,,
warneja01,1933,1,PHI,NL,2B,71,,,177,224,11,45,,,,,
warneja01,1933,1,PHI,NL,3B,30,,,26,66,6,8,,,,,
warneja01,1933,1,PHI,NL,SS,1,,,0,1,0,0,,,,,
warnelo01,1933,1,CHN,NL,P,36,,,8,72,0,7,,,,,
warstra01,1933,1,BOS,AL,SS,87,,,150,275,22,40,,,,,
watkige01,1933,1,SLN,NL,OF,135,,,295,9,15,3,,,,,
watwojo01,1933,1,BOS,AL,OF,9,,,19,0,1,0,,,,,
weavemo01,1933,1,WS1,AL,P,23,,,2,30,1,4,,,,,
webbea01,1933,1,DET,AL,OF,2,,,1,0,0,0,,,,,
webbea01,1933,2,CHA,AL,1B,10,,,108,3,7,8,,,,,
webbea01,1933,2,CHA,AL,OF,16,,,20,2,0,0,,,,,
weilabo01,1933,1,BOS,AL,P,39,,,5,38,2,3,,,,,
weintph01,1933,1,NY1,NL,OF,6,,,4,0,2,0,,,,,
welchjo01,1933,1,BOS,AL,P,47,,,1,33,1,0,,,,,
wellsed01,1933,1,SLA,AL,P,36,,,11,31,2,0,,,,,
werbebi01,1933,1,NYA,AL,3B,1,,,0,0,0,0,,,,,
werbebi01,1933,2,BOS,AL,2B,2,,,2,2,0,0,,,,,
werbebi01,1933,2,BOS,AL,3B,38,,,39,63,7,7,,,,,
