playerid,yearid,stint,teamid,lgid,wins,losses,games,gamesstarted,cg,sho,sv,ipouts,hits,er,hr,bb,so,baopp,era,ibb,wp,hbp,balks,bfp,gf,runs,sh,sf,gidp
kingcl01,1947,1,BRO,NL,6,5,29,9,2,0,0,263,85,27,11,29,31,0.25,2.77,,0,0,1,369,12,34,,,
kliemed01,1947,1,CLE,AL,5,4,58,0,0,0,17,276,78,31,5,39,21,0.23,3.03,,0,2,1,384,34,32,,,
klingbo01,1947,1,BOS,AL,1,1,28,0,0,0,5,126,42,18,5,24,12,0.25,3.86,,1,1,1,194,17,20,,,
knerrlo01,1947,1,WS1,AL,0,0,6,0,0,0,0,27,17,11,1,8,5,0.4,11,,0,0,0,53,2,13,,,
koechdi01,1947,1,PHI,NL,0,2,3,2,1,0,0,51,20,9,1,10,4,0.29,4.76,,0,1,1,79,1,12,,,
kosloda01,1947,1,NY1,NL,15,10,39,31,10,3,0,652,223,106,23,82,86,0.25,4.39,,5,3,0,958,6,118,,,
krameja01,1947,1,SLA,AL,11,16,33,28,9,1,1,598,206,110,16,89,77,0.27,4.97,,4,2,0,867,3,123,,,
kushem01,1947,1,CHN,NL,8,3,47,1,1,0,5,273,80,34,8,53,44,0.24,3.36,,2,3,1,388,23,38,,,
kuzavbo01,1947,1,CLE,AL,1,1,4,4,1,1,0,65,22,10,1,9,9,0.26,4.15,,1,1,0,94,0,10,,,
ladedo01,1947,1,CHN,NL,11,10,34,25,7,1,0,562,202,82,15,79,62,0.27,3.94,,5,1,1,826,5,105,,,
lambecl01,1947,1,CIN,NL,0,0,3,0,0,0,0,17,12,10,3,6,1,0.44,15.88,,0,0,0,33,0,10,,,
lanfrwa01,1947,1,BSN,NL,4,4,36,4,1,0,1,192,65,21,2,27,18,0.27,2.95,,0,0,0,271,12,23,,,
lannijo01,1947,1,BSN,NL,0,0,3,0,0,0,0,11,4,4,0,6,0,0.4,9.82,,0,0,0,18,0,5,,,
leebi02,1947,1,CHN,NL,0,2,14,2,0,0,0,72,26,12,2,14,9,0.26,4.5,,0,1,0,116,4,16,,,
leeth01,1947,1,CHA,AL,3,7,21,11,2,1,1,260,86,43,5,56,57,0.26,4.47,,1,2,0,394,5,50,,,
lemonbo01,1947,1,CLE,AL,11,5,37,15,6,1,3,502,150,64,7,97,65,0.24,3.44,,6,4,0,725,15,68,,,
leonadu02,1947,1,PHI,NL,17,12,32,29,19,3,0,705,224,70,14,57,103,0.25,2.68,,4,2,0,943,2,86,,,
lindely01,1947,1,CLE,AL,0,0,1,0,0,0,0,2,3,2,0,1,0,0.6,27,,0,0,0,6,0,2,,,
