playerid,yearid,stint,teamid,lgid,games,ab,runs,hits,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
fordho01,1927,1,CIN,NL,115,409,45,112,16,2,1,46,0,,33,34,,2,12,,
fothebo01,1927,1,DET,AL,143,527,93,189,38,9,9,114,9,15,47,31,,2,17,,
fournja01,1927,1,BSN,NL,122,374,55,106,18,2,10,53,4,,44,16,,6,9,,
foxxji01,1927,1,PHA,AL,61,130,23,42,6,5,3,20,2,1,14,11,,1,1,,
frankfr02,1927,1,SLN,NL,8,20,0,5,0,0,0,3,0,,1,1,,0,1,,
freemjo01,1927,1,BOS,AL,4,2,0,0,0,0,0,0,0,0,0,0,,0,0,,
freigho01,1927,1,CHN,NL,30,86,12,20,5,0,0,10,0,,9,10,,1,0,,
frencwa01,1927,1,PHA,AL,109,326,48,99,10,5,0,41,9,1,16,14,,1,13,,
fribebe01,1927,1,PHI,NL,111,335,31,78,8,2,1,28,3,,41,49,,3,17,,
friscfr01,1927,1,SLN,NL,153,617,112,208,31,11,10,78,48,,43,10,,7,26,,
galloch01,1927,1,PHA,AL,77,181,25,48,10,4,0,22,1,3,18,9,,0,6,,
ganzeba01,1927,1,WS1,AL,13,48,7,21,4,2,1,13,0,0,7,3,,0,3,,
gastomi01,1927,1,SLA,AL,37,96,13,25,8,0,3,15,0,0,5,26,,0,5,,
gautrdo01,1927,1,BSN,NL,87,236,38,58,12,2,0,20,11,,25,20,,1,8,,
gazelmi01,1927,1,NYA,AL,54,115,17,32,8,4,0,9,4,1,23,16,,1,9,,
gehrich01,1927,1,DET,AL,133,508,110,161,29,11,4,61,17,8,52,31,,2,9,,
gehrilo01,1927,1,NYA,AL,155,584,149,218,52,18,47,175,10,8,109,84,,3,21,,
genewjo01,1927,1,BSN,NL,40,57,3,11,1,0,0,5,0,,1,9,,0,3,,
gerbewa01,1927,1,SLA,AL,142,438,44,98,13,9,0,45,3,6,35,25,,2,23,,
gerkege01,1927,1,CLE,AL,6,14,1,3,0,0,0,2,0,0,1,3,,0,0,,
giardjo01,1927,1,NYA,AL,16,7,2,2,0,0,0,0,0,0,0,4,,0,0,,
gibsofr01,1927,1,BSN,NL,60,167,7,37,1,2,0,19,2,,3,10,,0,3,,
gibsosa01,1927,1,DET,AL,33,66,6,14,4,0,0,4,0,0,0,8,,0,3,,
gilligr01,1927,1,WS1,AL,10,36,8,8,3,1,0,2,0,0,2,0,,0,0,,
gilljo01,1927,1,CLE,AL,21,60,8,13,3,0,1,4,1,1,7,13,,2,0,,
goldsha01,1927,1,BSN,NL,22,21,1,5,1,0,0,2,0,,0,3,,0,1,,
gonzami01,1927,1,CHN,NL,39,108,15,26,4,1,1,15,1,,10,8,,1,4,,
goochjo01,1927,1,PIT,NL,101,291,22,75,17,2,2,48,0,,19,21,,1,8,,
gosligo01,1927,1,WS1,AL,148,581,96,194,37,15,13,120,21,6,50,28,,5,23,,
grabojo01,1927,1,NYA,AL,70,195,29,54,2,4,0,25,0,0,20,15,,2,6,,
grampha01,1927,1,CHN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grantge01,1927,1,PIT,NL,151,531,96,162,33,11,8,66,9,,74,39,,6,23,,
grantge02,1927,1,CLE,AL,25,21,0,2,0,0,0,2,0,0,0,6,,0,2,,
gravesi01,1927,1,BSN,NL,7,20,5,5,1,1,0,2,1,,0,1,,0,1,,
graydo02,1927,1,PHA,AL,37,42,6,8,0,0,0,2,0,0,3,11,,0,3,,
greenke01,1927,1,NY1,NL,12,2,0,0,0,0,0,0,0,,0,1,,0,1,,
greenke01,1927,2,BSN,NL,27,64,4,11,0,0,0,2,0,,3,20,,0,7,,
grimebu01,1927,1,NY1,NL,39,96,10,18,4,0,0,6,0,,5,16,,0,5,,
grimmch01,1927,1,CHN,NL,147,543,68,169,29,6,2,74,3,,45,21,,3,26,,
grohhe01,1927,1,PIT,NL,14,35,2,10,1,0,0,3,0,,2,2,,0,0,,
grovele01,1927,1,PHA,AL,51,80,8,10,1,0,2,8,1,0,8,30,,0,9,,
hadlebu01,1927,1,WS1,AL,30,70,8,19,3,0,0,10,0,0,2,11,,0,2,,
hafeych01,1927,1,SLN,NL,103,346,62,114,26,5,18,63,12,,36,41,,5,7,,
haineje01,1927,1,SLN,NL,38,114,6,23,3,0,0,8,0,,3,30,,0,4,,
halesa01,1927,1,PHA,AL,131,501,77,157,24,8,5,81,11,3,32,32,,3,28,,
hambyji01,1927,1,NY1,NL,21,52,6,10,0,1,0,5,1,,7,7,,0,0,,
haneyfr01,1927,1,BOS,AL,47,116,23,32,4,1,3,12,4,1,25,14,,0,8,,
haneyfr01,1927,2,CHN,NL,4,3,0,0,0,0,0,0,0,,0,0,,0,0,,
hankido01,1927,1,DET,AL,20,7,0,1,0,0,0,0,0,0,0,2,,0,0,,
hargrbu01,1927,1,CIN,NL,102,305,36,94,18,3,0,35,0,,31,18,,2,11,,
hargrch01,1927,1,BRO,NL,46,133,9,38,3,1,0,11,1,,14,7,,2,2,,
harpege02,1927,1,NY1,NL,145,483,85,160,19,6,16,87,7,,84,27,,5,21,,
harribu01,1927,1,WS1,AL,128,475,98,127,20,3,1,55,18,3,66,33,,5,30,,
harrijo03,1927,1,PIT,NL,129,411,57,134,27,9,5,73,0,,48,19,,4,23,,
harrisl01,1927,1,BOS,AL,44,66,1,8,1,0,0,3,0,0,2,17,,1,6,,
hartlgr01,1927,1,BOS,AL,103,244,23,67,11,0,1,31,1,0,22,14,,1,7,,
hartnga01,1927,1,CHN,NL,127,449,56,132,32,5,10,80,2,,44,42,,3,13,,
hayesja02,1927,1,WS1,AL,10,29,2,7,0,0,0,2,0,0,1,2,,0,1,,
hearnbu02,1927,1,BSN,NL,8,5,0,2,0,0,0,0,0,,0,0,,0,0,,
heathcl01,1927,1,CHN,NL,83,228,28,67,12,4,2,25,6,,20,16,,3,7,,
heilmha01,1927,1,DET,AL,141,505,106,201,50,9,14,120,11,5,72,16,,2,17,,
hendrha01,1927,1,BRO,NL,128,458,55,142,18,11,4,50,29,,24,40,,4,9,,
henlibu01,1927,1,BRO,NL,67,177,12,47,10,3,1,18,1,,17,10,,2,7,,
henrydu01,1927,1,NY1,NL,45,55,8,13,3,0,0,7,0,,2,4,,0,1,,
hermaba01,1927,1,BRO,NL,130,412,65,112,26,9,14,73,4,,39,41,,1,14,,
highan01,1927,1,BSN,NL,113,384,59,116,15,9,4,46,4,,26,11,,2,10,,
hillca01,1927,1,PIT,NL,44,104,10,22,3,3,0,10,0,,5,30,,0,3,,
hodapjo01,1927,1,CLE,AL,79,240,25,73,15,3,5,40,2,2,14,23,,0,7,,
hofmafr01,1927,1,BOS,AL,87,217,20,59,19,1,0,24,2,0,21,26,,2,9,,
hogansh01,1927,1,BSN,NL,71,229,24,66,17,1,3,32,2,,9,23,,3,5,,
hohmabi01,1927,1,PHI,NL,7,18,1,5,0,0,0,0,0,,2,3,,0,0,,
hollamu01,1927,1,NY1,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holloke01,1927,1,DET,AL,36,62,2,8,0,0,0,2,0,0,1,13,,0,6,,
holmwa01,1927,1,SLN,NL,110,419,55,120,27,8,3,66,4,,24,29,,1,16,,
hopkipa01,1927,1,WS1,AL,2,3,1,2,1,0,0,0,0,0,0,0,,0,0,,
hornsro01,1927,1,NY1,NL,155,568,133,205,32,9,26,125,9,,86,38,,4,26,,
hoytwa01,1927,1,NYA,AL,36,99,10,22,2,1,0,9,0,0,3,8,,0,9,,
hudliwi01,1927,1,CLE,AL,43,96,12,24,5,1,1,6,0,0,1,22,,0,6,,
hunnebi01,1927,1,CHA,AL,112,365,45,104,25,1,2,36,15,13,25,24,,1,15,,
jackstr01,1927,1,NY1,NL,127,469,67,149,29,4,14,98,8,,32,30,,1,15,,
jacobba01,1927,1,BOS,AL,45,155,11,38,9,3,0,24,1,0,5,12,,2,2,,
jacobba01,1927,2,CLE,AL,32,103,13,26,5,0,0,13,0,0,6,4,,1,6,,
jacobba01,1927,3,PHA,AL,17,35,3,8,3,0,1,5,0,0,0,3,,0,3,,
jacobel01,1927,1,CHA,AL,25,20,4,3,0,0,0,2,0,1,1,5,,0,4,,
jacobme01,1927,1,BRO,NL,11,6,4,0,0,0,0,1,0,,0,1,,0,1,,
jamiech01,1927,1,CLE,AL,127,489,73,151,23,6,0,36,7,9,64,14,,5,14,,
jeanete01,1927,1,NY1,NL,11,20,5,6,0,0,0,0,0,,2,2,,0,0,,
johnsar01,1927,1,NY1,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnsau01,1927,1,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnsji02,1927,1,PHA,AL,17,12,1,2,1,0,0,1,0,0,0,2,,0,3,,
johnssy01,1927,1,SLN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnswa01,1927,1,WS1,AL,26,46,6,16,2,0,2,10,0,0,3,4,,0,1,,
jonesdi01,1927,1,WS1,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonespe01,1927,1,CHN,NL,30,40,3,14,1,0,0,4,0,,0,11,,0,1,,
jonessa01,1927,1,SLA,AL,32,55,2,6,2,0,0,3,0,0,7,18,,3,0,,
jonnabu01,1927,1,PHI,NL,53,143,18,42,6,0,0,14,0,,7,7,,0,4,,
jordabu01,1927,1,NY1,NL,5,5,0,1,0,0,0,0,0,,0,3,,0,0,,
juddra01,1927,1,WS1,AL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
judgejo01,1927,1,WS1,AL,137,522,68,161,29,11,2,71,10,5,45,22,,2,23,,
kammwi01,1927,1,CHA,AL,148,540,85,146,32,13,0,59,8,9,70,18,,0,25,,
karowma01,1927,1,BOS,AL,6,10,0,2,1,0,0,0,0,0,0,2,,0,1,,
karrbe01,1927,1,CLE,AL,22,20,2,4,1,0,0,0,1,0,4,6,,0,1,,
kaufmto01,1927,1,CHN,NL,9,16,2,5,0,0,1,6,0,,4,4,,0,2,,
kaufmto01,1927,2,PHI,NL,8,7,1,1,0,0,1,2,0,,0,1,,0,0,,
kaufmto01,1927,3,SLN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keenvi01,1927,1,SLN,NL,21,4,0,1,0,0,0,0,0,,0,2,,0,0,,
kellyge01,1927,1,CIN,NL,61,222,27,60,16,4,5,21,1,,11,23,,1,2,,
klingjo02,1927,1,NY1,NL,3,5,0,2,0,0,0,0,0,,0,2,,0,0,,
knighja01,1927,1,BSN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
koenima01,1927,1,NYA,AL,123,526,99,150,20,11,3,62,3,2,25,21,,2,15,,
